X,Y,Z
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68
7.27,0.33,-3.68

